,Name,Country,Years active,Proven victims,Possible victims,Notes,Start year,End year,Number of years active,involving children,torture,arsenist,strangulation,sexually motivated,cannibalism,abduction,poison,guns,prison,execution,mental institution,suicide,Methods of killing
10,Samuel Little,United States,1970 to 2005,50,93,"Was convicted of killing three women, but later investigations linked 31 other murders to him.  Little is now thought to be America's most prolific serial killer. He claims he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.[20][21]",1970.0,2005,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11,Florisvaldo de Oliveira,Brazil,1982,50,50+,"Known as ""Cabo Bruno""; former police officer and vigilante who murdered criminals in the outskirts of São Paulo; murdered by unknown assailants in 2012.[22]",1982.0,1982,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,Willy Pickton,Canada,1983 to 2002,49,49,"Nicknamed ""The Butcher""; Robert Pickton was a Canadian serial killer who killed 49 women and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped.",1983.0,2002,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,Gary Ridgway,United States,1982 to 2000,49,71–90+,"Truck painter who confessed to killing 71 women. Also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49.[23] Sentenced to life without parole.[24]",1982.0,2000,18.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14,Alexander Pichushkin,Russia,1992 to 2006,48,60,"Known as the Chessboard Killer. Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he did not know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer.[25] Sentenced to imprisonment for life.",1992.0,2006,14.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
15,Wang Qiang,China,1995 to 2003,45,60+,Killed 45 and raped 10 from 1995 to 2003.[26] Executed in 2005.,1995.0,2003,8.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
16,Ahmad Suradji,Indonesia,1986 to 1997,42,70–80+,Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad in 2008.[27],1986.0,1997,11.0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
17,Raman Raghav,India,1965 to 1968,41,41,"In the late 1960s Raman Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept.",1965.0,1968,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18,Tiago Henrique Gomes da Rocha,Brazil,2011 to 2014,39,~39,Brazilian security guard who confessed to the murders of 39 people. Attempted suicide in prison. Sentenced to 25 years.[28],2011.0,2014,3.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
19,Moses Sithole,South Africa,1994 to 1995,38,38+,"Known as South Africa's Ted Bundy. Preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. Sentenced to 2410 years imprisonment with a non-parole period of 930 years.[29]",1994.0,1995,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,3
20,Serhiy Tkach,Soviet Union  Ukraine,1984 to 2005,36,80–100,"A former Ukrainian police criminal investigator, suffocated girls aged between eight and 18 and performed sexual acts on their bodies after they were dead. Claims to have killed 100. Sentenced to imprisonment for life. Died from heart failure in 2018.[30]",1984.0,2005,21.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
21,Gennady Mikhasevich,Soviet Union,1971 to 1985,36,43–55+,"Strangled women. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). Executed by firing squad in 1987.[31]",1971.0,1985,14.0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
22,Hadj Mohammed Mesfewi,Morocco,1906 and earlier,36,36+,"Known as ""Marrakesh Arch-Killer""; drugged, mutilated and murdered women; executed 1906.",1906.0,1906,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
23,Vera Renczi,Romania   Yugoslavia  Hungary (alleged),1920 to 1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"" convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is the world's most prolific female serial killer. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, and etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.[32]",1920.0,1930,10.0,0,0,1,0,0,0,0,1,1,0,0,0,0,3
24,Ted Bundy,United States,1974 to 1978,35,36+,"American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another.[33] He was executed by electric chair in 1989.[34][35]",1974.0,1978,4.0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
25,Clementine Barnabet,United States,1911,35,35,An axe murdering voodoo priestess who murdered African-American families at nighttime.[36],1911.0,1911,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,John Wayne Gacy,United States,1972 to 1978,33,34+,"Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.[37]",1972.0,1978,6.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
27,Ali Asghar Borujerdi,Ottoman Empire  Iraq  Persia,1907 to 1934,33,33,"Known as ""Asghar the Murderer"". Killed 33 young adults in Iraq and Iran. Executed by hanging in 1934.[38]",1907.0,1934,27.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
28,Vasili Komaroff,Soviet Union,1921 to 1923,33,33,"Known as ""The Wolf of Moscow""; horse trader who killed 33 men. Executed by firing squad in 1923.",1921.0,1923,2.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
29,Fernando Hernández Leyva,Mexico,1982 to 1999,33,100+,"Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 murders and sentenced 50 years in prison. Tried unsuccessfully to kill himself in prison. If his claim of 100+ victims were true then Leyva would be one of the world's worst murderers, currently he is Mexico's worst documented serial killer.[39]",1982.0,1999,17.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
30,Ramadan Abdel Rehim Mansour,Egypt,1999 to 2006,32,32+,"Gang leader known as al-Tourbini (""The Express Train""). Raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times they were thrown into the Nile or buried alive. Executed in 2010.[40]",1999.0,2006,7.0,1,1,0,0,1,0,0,0,1,0,1,0,0,4
31,Volga Maniac,Russia,2011 to 2012,32,32,"Killed elderly women in several Russian regions; Kazakhstani native Pavel Shayakhmetov, found guilty of killing two elderly women in Samara, was arrested on suspicion of committing these murders, but police forces believe that the real perpetrator, possibly originating from Tatarstan, is out there.[41]",2011.0,2012,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,Karl Denke,German Empire   Germany,1900 to 1924,30,42+,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.[42]",1900.0,1924,24.0,0,0,0,0,0,1,0,0,1,0,0,0,1,2
34,Francisco das Chagas Rodrigues de Brito,Brazil,1989 to 2003,30,42,"Pedophile who sexually abused, murdered and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment.[43]",1989.0,2003,14.0,1,0,0,0,1,0,0,0,1,1,0,0,0,3
35,Luis Gregorio Ramírez Maestre,Colombia,2010 to 2013,30,30,Killed motorists in various municipalities before his 2012 capture.[44],2010.0,2013,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,David Thabo Simelane,Swaziland,2000 to 2001,28,45,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.[45]",2000.0,2001,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
37,Zhang Jun,China,1993 to 2000,28,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.[46]",1993.0,2000,7.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
38,Cedric Maake,South Africa,1996 to 1997,27,35+,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison.[47]",1996.0,1997,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
39,Mariam Soulakiotis,Greece,1939 to 1951,27,27+,"Known as ""The Woman Rasputin""; convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. She officially murdered 27 and killed an additional 150 children through neglect.[48]",1939.0,1951,12.0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
40,Bruce George Peter Lee,United Kingdom,1973 to 1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.[49]",1973.0,1979,6.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
41,The Stoneman,India,1985 to 1989,25,25+,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders.[50]",1985.0,1989,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,Juan Corona,United States,1971,25,25+,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment.[51] Died from natural causes in 2019.,1971.0,1971,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
43,Fritz Haarmann,Germany,1918 to 1924,24,27+,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.[52]",1918.0,1924,6.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
44,Béla Kiss,Hungary,1912 to 1916,24,24+,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.[53]",1912.0,1916,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Majid Salek Mohammadi,Iran,1981 to 1985,24,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.[54]",1981.0,1985,4.0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
46,Yvan Keller,France  Germany (suspected)   Switzerland (suspected),1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.[55]",1989.0,2006,17.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
47,Ronald Dominique,United States,1997 to 2006,23,23+,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.[56]",1997.0,2006,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
48,Juan Fernando Hermosa,Ecuador,1991 to 1992,23,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.[57]",1991.0,1992,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
49,Earle Nelson,United States  Canada,1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.[58]",1926.0,1927,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
50,Mikhail Novosyolov,Soviet Union  Russia  Tajikistan,1977 to 1995,22,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.[59]",1977.0,1995,18.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
51,Manuel Octavio Bermúdez,Colombia,1999 to 2003,21,50+,"Colombian pedophile and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia.[60] Sentenced to 40 years in prison.",1999.0,2003,4.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
52,Patrick Kearney,United States,1965 to 1977,21,43+,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them.[61] Sentenced to imprisonment for life.",1965.0,1977,12.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
53,William Bonin,United States,1979 to 1980,21,36+,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.[62]",1979.0,1980,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
54,Vasile Tcaciuc,Romania,1917 to 1935,21,26+,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.[63],1917.0,1935,18.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
55,Yoo Young-chul,South Korea,2003 to 2004,21,26,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession.[64] Was sentenced to death and currently incarcerated.[65][66]",2003.0,2004,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
56,Francisco Guerrero Pérez,Mexico,1880 to 1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.[67]",1880.0,1908,28.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
57,Abdullah Shah,Afghanistan,1990s,20,20+,Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.[68],1990.0,1990,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
58,José Paz Bezerra,Brazil,1960s to 1970s,20,20+,"Known as the ""Morumbi Monster""; sexually violated, tortured and then murdered at least 20 women in São Paulo and Pará; sentenced to 30 years imprisonment and later released in 2001.[69]",1960.0,1970,10.0,0,1,0,0,1,0,0,0,1,1,0,0,0,3
59,Bulelani Mabhayi,South Africa,2007 to 2012,20,20,"Known as the ""Monster of Tholeni""; killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment.[70]",2007.0,2012,5.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
60,Mohan Kumar,India,2005 to 2009,20,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.[71]",2005.0,2009,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61,Alexander Spesivtsev,Russia,1991 to 1996,19,82+,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.[72]",1991.0,1996,5.0,0,0,0,0,1,1,0,0,1,1,0,1,0,3
62,Larry Eyler,United States,1982 to 1984,19,23+,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.[73]",1982.0,1984,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
63,Surinder Koli,India,2005 to 2006,19,30+,"Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surender Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted.[74]",2005.0,2006,1.0,1,1,0,0,1,0,1,0,1,0,0,0,0,4
64,El Psicópata,Costa Rica,1986 to 1996,19,19+,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.[75]",1986.0,1996,10.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
65,Sergei Ryakhovsky,Soviet Union  Russia,1988 to 1993,19,19+,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.[76]",1988.0,1993,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
66,Yevgeny Chuplinsky,Russia,1998 to 2006,19,19+,"Known as the ""Novosibirsk Maniac""; killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.[77]",1998.0,2006,8.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
67,M. Jaishankar,India,2008 to 2011,19,19+,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in prison on 27 February 2018.[78]",2008.0,2011,3.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
68,Ansis Kaupēns,Latvia,1920 to 1926,19,19,Army deserter who committed 30 robberies and killed 19 people; the most infamous Latvian criminal; executed by hanging in 1927.[79],1920.0,1926,6.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
69,Vadim Ershov,Russia,1992 to 1995,19,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.[80]",1992.0,1995,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
70,Velaphi Ndlangamandla,South Africa,1998,19,19,"Known as ""The Saloon Killer""; robbed who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.[81]",1998.0,1998,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
71,Yavuz Yapıcıoğlu,Turkey,1994 to 2002,18,40+,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives.[82],1994.0,2002,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
72,Paul John Knowles,United States,1974,18,35+,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.[83]",1974.0,1974,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,Thierry Paulin,France,1984 to 1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.[84]",1984.0,1987,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
74,Randall Woodfield,United States,1979 to 1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders.[85] Sentenced to imprisonment for life.",1979.0,1981,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
75,Umesh Reddy,India,1996 to 2002,18,18+,Confessed to 18 rapes and murders. Sentenced to death.[86],1996.0,2002,6.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
76,Christopher Mhlengwa Zikode,South Africa,1994 to 1995,18,18+,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994–1995.[87]",1994.0,1995,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
77,Asande Baninzi,South Africa,2001,18,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.[88]",2001.0,2001,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
78,Huang Yong,China,2001 to 2003,17,25,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003.[89] Executed by firing squad in 2003.",2001.0,2003,2.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
79,Pedro Pablo Nakada Ludeña,Peru,2005 to 2006,17,25,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.[90]",2005.0,2006,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
80,Darbara Singh,India,2004,17,23,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 while serving a life sentence.[91],2004.0,2004,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
81,Sergei Dovzhenko,Ukraine,1992 to 2002,17,19,"Killed people because they were ""mocking"" him; sentenced to life imprisonment.[92]",1992.0,2002,10.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
82,Donato Bilancia,Italy,1997 to 1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life.[93]",1997.0,1998,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
83,Irina Gaidamachuk,Russia,2002 to 2010,17,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison.",2002.0,2010,8.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
84,Randy Steven Kraft,United States,1971 to 1983,16,65–67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice.[94] Sentenced to death.",1971.0,1983,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
85,Mohammed Bijeh,Iran,2004,16,20,"Raped and killed at least 16 boys and teenagers. Nicknamed the ""Tehran Desert Vampire"". Was convicted and executed after being lashed in front of a crowd in 2005.[95]",2004.0,2004,0.0,1,0,0,0,1,0,0,0,1,0,1,0,0,3
86,Michel Fourniret,France  Belgium,1987 to 2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003.[96],1987.0,2001,14.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
87,Sipho Agmatir Thwala,South Africa,1996 to 1997,16,19,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders.[97]",1996.0,1997,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
88,Saeed Hanaei,Iran,2000 to 2001,16,19,"Confessed to luring 16 prostitutes to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002.[98]",2000.0,2001,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
89,Jeffrey Dahmer,United States,1978 to 1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,1978.0,1991,13.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
